Code,Name,Status
SP001,DOKTER UMUM,true
SP002,DOKTER ANAK,true
SP003,DOKTER KANDUNGAN,true
SP004,DOKTER BEDAH,true
SP005,DOKTER JANTUNG,true
SP006,DOKTER SARAF,true
SP007,DOKTER THT,true
SP008,DOKTER MATA,true
SP009,DOKTER KULIT DAN KELAMIN,true
SP010,DOKTER GIGI,true
SP011,DOKTER PSIKIATRI,true
SP012,DOKTER ORTHOPEDI,true
SP013,DOKTER UROLOGI,true
SP014,DOKTER PARU,true
SP015,DOKTER GIZI,true
SP016,DOKTER REHABILITASI MEDIS,true
SP017,DOKTER GERIATRI,true
SP018,DOKTER ONKOLOGI,true
SP019,DOKTER KARDIOVASKULER,true
SP020,DOKTER NEFROLOGI,true
